占位符	说明（中文）	说明（English）
{-NAME-}	姓名	Full Name
{-GENDER-}	性别	Gender
{-AGE-}	年龄	Age
{-EMAIL-}	邮箱	Email Address
{-PHONE-}	电话	Phone Number
{-GITHUB-}	GitHub 用户名	GitHub Username
{-SUMMARY-1-} 至 {-SUMMARY-5-}	个人简介各条目	Professional Summary Bullet Points
{-UNIVERSITY-}	大学名称	University Name
{-EDU-DATE-}	教育时间	Education Period
{-MAJOR-}	专业	Major
{-DEGREE-}	学位	Degree
{-SKILL-LANG-}	编程语言	Programming Languages
{-SKILL-DB-}	数据库与中间件	Databases & Middleware
{-SKILL-FRAMEWORK-}	框架	Frameworks
{-SKILL-AI-}	AI 工程技能	AI Engineering Skills
{-SKILL-TOOLS-}	开发工具	Development Tools
{-JOB-TITLE-}	职位	Job Title
{-JOB-COMPANY-}	公司	Company Name
{-JOB-DEPT-}	部门	Department
{-JOB-DATE-}	工作时间	Employment Period
{-JOB-DESC-1-} 至 {-JOB-DESC-5-}	工作描述条目	Job Description Bullet Points
{-PROJECT-NAME-}	项目名称	Project Name
{-PROJECT-ROLE-}	项目角色	Project Role
{-PROJECT-DATE-}	项目时间	Project Period
{-PROJECT-DESC-}	项目描述	Project Description
{-PROJECT-TECH-}	技术栈	Tech Stack
{-PROJECT-RESP-1-} 至 {-PROJECT-RESP-6-}	职责条目	Responsibilities
{-PROJECT-RESULT-1-} 至 {-PROJECT-RESULT-4-}	关键成果条目	Key Achievements
{-CERT-1-} 和 {-CERT-2-}	证书条目	Certifications
